Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	1.2	2.6	3.8	1.3	0.5	0.4	2.4	3	14.4	73.80952381	50	42.22222222	2	9	1
0	1.9	6.1	8	1.1	0.4	1	2.1	2.6	13.3	82.85714286	53.76344086	30	4	9	1
0	3.4	6.1	9.5	0.9	1.4	3.9	1.2	2.6	11.7	46.55172414	60.81081081	0	4	9	1
104	3.4	4.2	7.6	0.4	0.8	2.7	1.5	2.2	10	30.76923077	53.48837209	0	1	6	2
0	1.5	3.4	4.9	0.8	0.4	2.4	2.2	2.6	9.5	50	56.25	0	3	9	1
62	2.4	3.5	5.9	0.3	0.4	2	2.2	3.2	10.1	60.37735849	53.96825397	0	4	3	1
78	2.7	3.2	5.8	0.7	0.5	2.9	1.4	2.8	7.8	65	56.89655172	0	2	6	2
0	1.8	3.2	5	0.4	0.5	2.3	1.3	3.2	6.5	72	52.17391304	0	4	9	1
0	2.3	4.8	7.1	0.4	0.3	2.5	1.1	2.7	7.4	65	38.46153846	0	3	9	1
0	3	5	8	0.4	0.6	2.4	1	3.3	5.4	41.66666667	56.81818182	0	4	9	1
0	1.8	4.8	6.5	1	0.5	3.3	1.7	2.4	4.5	66.66666667	42.10526316	25	4	9	1
0	1.4	3.2	4.6	0.6	0.4	2.6	1.2	1.1	4.2	80	47.5	0	4	1	2
0	1.8	4.2	6	3.5	0.6	1.4	2.8	2.7	11.6	70.58823529	45.97701149	0	4	6	1
32	3.3	3.9	7.2	0.9	0.8	1.3	1.7	2.5	12.9	76.19047619	49.48453608	25	3	3	2
2	2	4.3	6.3	0.7	0.4	1.4	1.8	2.2	11.6	75	50.72463768	0	4	9	1
0	2	4.1	6.1	1.1	0.3	1.1	1.9	2.1	10.2	56.25	51.2195122	0	4	9	1
0	2.7	6	8.6	1	0.4	1	1.5	2.4	10.4	62.06896552	46.34146341	45	4	9	1
0	2.5	4.7	7.2	1.1	0.3	0.8	1.6	2.7	10	65.38461538	58.57142857	0	3	9	1
0	2.8	3.7	6.5	0.8	0.7	1.1	1.6	3.1	8.1	54.54545455	57.14285714	0	4	9	1
0	3	4	7	0.7	0.7	1.3	1.1	2.9	10.8	60.71428571	61.33333333	0	4	9	1
0	1.8	4.3	6.1	0.6	0.3	0.8	1.8	2.9	9.2	50	68.42105263	0	2	9	1
0	2.7	4.6	7.3	0.4	0.4	0.8	1.8	2.2	9.2	64.51612903	48.64864865	0	2	9	1
0	1.7	5.2	7	2	0.9	0.9	2.4	2.2	9.2	78.26086957	49.23076923	39.13043478	3	9	1
0	3.9	4.9	8.8	0.9	0.4	1.6	2	2.7	11.8	60.41666667	60.81081081	0	4	9	1
0	2.2	5.1	7.4	1.5	0.8	1.6	2.1	3.4	7.9	52	60	0	4	9	1
0	2	4.4	6.3	0.6	0.5	1.8	1.7	3	8.1	58.53658537	51.85185185	0	2	9	1
0	2.6	3.7	6.3	0.8	0.5	1.1	1.7	2.5	7.1	48.48484848	54	0	4	9	1
0	2.7	3.9	6.6	0.8	0.4	0.6	1.9	3.2	7.6	60.86956522	64.58333333	0	4	9	1
0	2.4	3.7	6	0.5	0.3	1.3	1.3	2.2	6.8	60	44.82758621	0	4	9	1
0	2.7	4.5	7.2	1.1	1	0.5	2.2	2.9	6.2	61.11111111	46.42857143	0	4	9	1
0	2.5	3.8	6.3	0.3	0.4	0.7	2.5	3.4	8.9	57.14285714	41.25	0	4	9	1
42	2.2	3.2	5.4	0.4	0.5	1.6	1.5	2.3	12.5	76.31578947	57.14285714	0	1	4	1
0	2	3.8	5.8	1	0.5	0.9	1.7	2.8	11.9	69.23076923	68.18181818	25	1	4	1
0	1.8	3.7	5.5	0.7	0.2	1.3	1.8	2.7	12.1	67.5	58.02469136	0	4	9	1
0	1.3	3.7	5	0.7	0.4	1.5	1.2	1.7	9.9	62.85714286	44.18604651	0	2	9	1
0	1.1	4.4	5.5	0.8	0.3	0.3	1.7	2	8.6	72.72727273	46.875	47.36842105	3	6	1
0	2	3.9	5.9	0.3	0.6	1.3	1	2.7	6.6	69.23076923	54.90196078	50	3	9	1
0	1.7	3.4	5.1	0.2	0.3	1.2	1.2	2.8	6.5	73.91304348	52.17391304	0	2	4	1
0	1.8	3.2	5	1	0.4	0.9	0.9	2.8	6.8	73.33333333	44.82758621	33.33333333	4	9	1
0	1.5	4.3	5.8	0.6	0.2	1.3	1.6	3.3	6.4	53.84615385	59.52380952	0	3	9	1
0	2.1	3.6	5.7	0.3	0.2	1.2	1.4	3.1	6.6	73.33333333	65.11627907	0	3	7	1
0	1.8	3.8	5.6	0.5	0.2	1.7	1.3	2.9	6.1	66.66666667	61.36363636	0	1	9	1
0	2.1	3.1	5.2	0.6	0.1	0.4	1	1.8	5.6	56	58.33333333	0	2	9	1
0	1.8	3.3	5.1	0.8	0.3	0.6	1	2.7	6.3	52.94117647	52.94117647	0	3	9	1
0	1.8	3.4	5.2	0.2	0.3	1	0.8	2.9	5.6	60.86956522	60	0	4	9	1
0	2.2	3.4	5.6	0.3	0.4	1.3	0.8	2.3	5.2	63.63636364	59.45945946	0	2	8	1
0	1.9	3.3	5.2	0.3	0.6	0.6	0.9	2.8	5.3	65	62.5	0	3	1	1
0	1.6	3.5	5.1	0.4	0.2	1	1.2	2.7	4.8	66.66666667	51.42857143	0	2	4	1
0	1.9	3.2	5.1	0.5	0.1	1.4	0.9	3.1	5.3	73.68421053	50	0	3	9	1
0	2.1	3.3	5.3	0.3	0.5	0.3	0.8	2.3	2.8	57.14285714	33.33333333	0	4	9	1
0	1.7	3	4.7	0.3	0.1	1.9	1.4	2.8	8	51.72413793	56.14035088	0	3	9	1
0	1.8	2.6	4.4	0.4	0.6	1.7	1.1	2.7	6.1	68	57.89473684	0	4	1	1
0	1.5	2.1	3.6	0.3	0.5	1.5	1	3.3	3.8	47.05882353	45.45454545	0	1	4	1
0	1.4	2	3.5	0.4	0.3	1.6	0.7	3	2.8	53.84615385	55	0	4	4	1
0	2.5	3.2	5.8	1.2	1	0.7	2	3.5	10.8	63.63636364	62.5	0	4	6	1
0	2	3.3	5.3	0.6	0.6	0.5	1.9	2.8	11.6	73.33333333	47.91666667	33.33333333	4	9	1
