Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
146,Isaiah Johnson\isaiah-johnson-1,SR,2016-17,C,Akron,MAC,28.8,6.3,10,6.3,10,0,0,4.2,7.3,2.9,4.3,7.3,3,0.4,0.8,2,2.4,16.7,57.53424658,63,0
147,Demetrius Dyson\demetrius-dyson-1,JR,2016-17,G,Samford,Southern,30.4,5.4,10.5,3.1,5.7,2.3,4.8,2.8,4.1,0.9,4.3,5.3,1.1,0.8,0.1,2.3,2.2,16,68.29268293,51.42857143,47.91666667
148,TJ Leaf\tj-leaf-1,FR,2016-17,F,UCLA,Pac-12,30.8,7,11.1,6.2,9.3,0.8,1.8,1.8,2.8,2.3,6.4,8.8,2.7,0.8,1.1,1.4,2.5,16.7,64.28571429,63.06306306,44.44444444
149,Damon Lynn\damon-lynn-1,SR,2016-17,G,NJIT,A-Sun,34.2,6.1,16.2,2,4.7,4,11.6,4.4,5,0.4,1.8,2.2,3.4,1.9,0.1,2.4,1.5,20.6,88,37.65432099,34.48275862
150,Martez Walker\martez-walker-1,JR,2016-17,G,Oakland,Horizon,32.9,5.5,13.1,3.5,6.5,2,6.6,3.5,4.3,1.5,2.3,3.8,1.1,0.8,0.3,1.8,1.7,16.7,81.39534884,41.98473282,30.3030303
151,Kahlil Dukes\kahlil-dukes-1,JR,2016-17,G,Niagara,MAAC,33.9,5.4,12.4,3.3,7.6,2.1,4.9,2.9,3.1,0.2,2.8,3,4.4,0.7,0,2.6,1.6,16,93.5483871,43.5483871,42.85714286
152,J.J. Frazier\jj-frazier-1,SR,2016-17,G,Georgia,SEC,34.3,5.3,13.3,3.6,7.8,1.7,5.5,4.3,4.9,0.3,3.2,3.5,4.4,2,0.1,2.5,2.3,16.6,87.75510204,39.84962406,30.90909091
153,Jaron Blossomgame\jaron-blossomgame-1,SR,2016-17,F,Clemson,ACC,33.9,6.6,13,5.8,10.1,0.8,3,3.3,4.9,1.8,4.1,5.8,1.7,0.8,1,1.5,1.7,17.2,67.34693878,50.76923077,26.66666667
154,Josh Jackson\josh-jackson-2,FR,2016-17,G,Kansas,Big 12,30.3,6.3,12.4,5.3,9.8,0.9,2.6,3.1,5.5,2.5,4.6,7.2,3,1.8,1.1,2.8,3,16.5,56.36363636,50.80645161,34.61538462
155,Brandon Clarke\brandon-clarke-1,SO,2016-17,F,San Jose State,MWC,30.7,7.7,12.9,7.7,12.8,0,0.1,2.5,4.4,2.9,5.1,8,1.8,1.3,2.5,1.9,2.6,17.9,56.81818182,59.68992248,0
156,L.J. Peak\lj-peak-1,JR,2016-17,G,Georgetown,Big East,33.6,5.2,11.1,4,7.7,1.2,3.4,5,6.3,1,3,4,3.6,1.1,0.4,2.6,2.6,16.5,79.36507937,46.84684685,35.29411765
157,Daniel Dixon\daniel-dixon-1,SR,2016-17,G,William & Mary,CAA,28.1,5.9,12.4,3.5,6.1,2.4,6.3,3.6,4.2,1,3.7,4.7,2.3,0.7,0.3,2.3,2.7,17.8,85.71428571,47.58064516,38.0952381
158,Matt Klinewski\matt-klinewski-1,JR,2016-17,F,Lafayette,Patriot,27.7,6.7,12.9,6.7,12.8,0,0.1,3.1,4,1.7,4.3,6,1.2,0.5,0.5,2.4,2.6,16.4,77.5,51.9379845,0
159,Terrell Miller Jr.\terrell-millerjr-1,JR,2016-17,F,Murray State,OVC,28.1,5.7,11.2,3.5,6,2.2,5.2,2.8,3.6,2.1,5.8,7.9,1.2,0.8,0.3,2.5,3.4,16.4,77.77777778,50.89285714,42.30769231
160,Michael Buchanan\michael-buchanan-1,SR,2016-17,C,South Carolina Upstate,A-Sun,22.4,6,9.5,6,9.5,0,0,3.2,6.1,3.6,5.9,9.5,1.1,0.5,0.6,2.2,2.6,15.2,52.45901639,63.15789474,0
